screening 1_fed,AI involvement,AI involvement_Detail - Selected Choice,"AI involvement_Detail - Other involvement with AI, please specify. - Text",AI involvement_Frequency,race,ethnicity,age,supervisory,duration in Fed,gender,military service,"Please specify the name of the government agency that you are currently working for.

Furnishing this information will not lead to any disclosure of your identity. The responses will still be anonymous. This information is needed to produce agency-wide results.",clear_explanation,security_measure,accountability,privacy,AI education satisfaction,Assisted AI,Augmented AI,Autonomous AI,satisfaction_assistedAI,satisfaction_augmentedAI,satisfaction_autonomousAI,hindrace to AI adoption - Implementation costs of AI solutions,hindrace to AI adoption - Integration challenges with existing infrastructure,hindrace to AI adoption - Reputational risks,hindrace to AI adoption - Access to external data,hindrace to AI adoption - Sponsorship from agency leadership,Governance Program,Knowledgeable employee,Partnerships with AI solutions providers and consultants,Budget optimisation,Better services to our clients,responsive to oversight requests,factors regarding agency's success - Gauging the comfort level of the clients with the use of AI technologies,factors regarding agency's success - Efficiently moderating the ongoing discussion on strategies to encourage the use of AI,factors regarding agency's success - Proficiently deploying and maintaining AI models,Impact on strategic focus
A federal employee,Yes,I use AI in my administrative or mission-driven tasks. ,,Occasionally ,White or Caucasian  ,No,Under 40,Non-supervisor/Team Leader,10 years or fewer,Male,No prior Military Service,Bureau of Labor Statistics(BLS),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly satisfied,Yes,No,No,Neither satisfied nor dissatisfied,,,High significance,High significance,High significance,Low significance,High significance,Strongly agree,Agree ,Agree ,Somewhat disagreeae ,Neither disagree nor agree ,Neither disagree nor agree ,Not at all,To some extent,Not at all,Not at all 
A federal employee,Yes,"Other involvement with AI, please specify.",,Occasionally ,Black or African American  ,No,40 or older,Non-supervisor/Team Leader,10 years or fewer,Male,No prior Military Service,U.S. Department of Agriculture(USDA),Agree,Strongly agree,Strongly agree,Strongly agree,Slightly dissatisfied,No,Yes,No,,Neither satisfied nor dissatisfied,,Low significance,Low significance,Low significance,Low significance,Low significance,Strongly agree,Strongly agree,Strongly agree,,,,,,,
A federal employee,Yes,I implement AI for use in administrative or mission-driven tasks. ,,Occasionally ,Mixed race,No,Under 40,Non-supervisor/Team Leader,10 years or fewer,Male,No prior Military Service,U.S. Census Bureau,Agree,Agree,Agree,Strongly agree,Neither dissatisfied nor satisfied,Yes,No,No,Neither satisfied nor dissatisfied,,,,,,,,,,,,,,,,,
A federal employee,Yes,I am involved in making decisions related to the use of AI for administrative or mission-driven tasks. ,,Occasionally ,Prefer not to say,No,40 or older,Supervisor/Manager/Executive,More than 20 years,Prefer not to say,No prior Military Service,,Disagree,Strongly agree,Agree,Neither disagree nor agree,Slightly dissatisfied,Yes,Yes,No,Somewhat satisfied,Somewhat satisfied,,Low significance,No significance,No significance,Low significance,No significance,Strongly disagree ,Agree ,Somewhat disagreeae ,Somewhat agree ,Somewhat agree ,Neither disagree nor agree ,To some extent,Moderately,Very much,To some extent 
A federal employee,Yes,I am involved in making decisions related to the use of AI for administrative or mission-driven tasks. ,,Occasionally ,White or Caucasian  ,No,40 or older,Non-supervisor/Team Leader,More than 20 years,Male,No prior Military Service,National Agricultural Statistics Service(NASS),Agree,Strongly agree,Agree,Neither disagree nor agree,Slightly dissatisfied,Yes,Yes,No,Somewhat satisfied,Somewhat dissatisfied,,Low significance,Low significance,High significance,Low significance,High significance,Somewhat agree ,Somewhat agree ,Somewhat disagreeae ,Agree ,Strongly agree,Neither disagree nor agree ,Not at all,Moderately,To some extent,Moderately 
A federal employee,Yes,I am involved in making decisions related to the use of AI for administrative or mission-driven tasks. ,,Occasionally ,White or Caucasian  ,No,40 or older,Supervisor/Manager/Executive,11 to 20 years,Male,No prior Military Service,U.S. Census Bureau,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither dissatisfied nor satisfied,Yes,Yes,No,Neither satisfied nor dissatisfied,Somewhat dissatisfied,,Low significance,Low significance,No significance,Low significance,No significance,Strongly agree,Strongly agree,Strongly agree,Disagree ,Disagree ,Disagree ,Moderately,To some extent,To some extent,Not at all 
A federal employee,Yes,I am involved in making decisions related to the use of AI for administrative or mission-driven tasks. ,,Weekly ,White or Caucasian  ,Yes,Under 40,Non-supervisor/Team Leader,10 years or fewer,Female,No prior Military Service,Food and Drug Administration(FDA),Agree,Agree,Strongly agree,Strongly agree,Moderately dissatisfied,Yes,No,No,Somewhat dissatisfied,,,High significance,High significance,High significance,High significance,High significance,,,,,,,,,,
A federal employee,Yes,I use AI in my administrative or mission-driven tasks. ,,Occasionally ,White or Caucasian  ,No,40 or older,Non-supervisor/Team Leader,More than 20 years,Male,No prior Military Service,U.S. Census Bureau,Agree,Strongly agree,Strongly agree,Strongly agree,Moderately dissatisfied,No,Yes,No,,Neither satisfied nor dissatisfied,,No significance,No significance,High significance,No significance,High significance,Neither disagree nor agree ,Strongly agree,Neither disagree nor agree ,Agree ,Agree ,Neither disagree nor agree ,,To some extent,,Not at all 
A federal employee,Yes,I use AI in my administrative or mission-driven tasks. ,,Weekly ,White or Caucasian  ,No,Under 40,Non-supervisor/Team Leader,10 years or fewer,Non-binary / third gender,No prior Military Service,U.S. Census Bureau,Agree,Strongly agree,Somewhat agree,Strongly agree,Moderately dissatisfied,Yes,Yes,No,Somewhat satisfied,Somewhat satisfied,,Low significance,Low significance,High significance,High significance,No significance,Agree ,Strongly agree,Neither disagree nor agree ,Agree ,Somewhat agree ,Neither disagree nor agree ,To some extent,Moderately,Moderately,Very much 
A federal employee,Yes,I implement AI for use in administrative or mission-driven tasks. ,,Weekly ,White or Caucasian  ,No,40 or older,Non-supervisor/Team Leader,More than 20 years,Female,No prior Military Service,Bureau of Labor Statistics(BLS),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Extremely dissatisfied,No,Yes,No,,Extremely dissatisfied,,Low significance,Low significance,High significance,Low significance,High significance,Strongly agree,Strongly agree,Strongly agree,Agree ,Agree ,Neither disagree nor agree ,Not at all,Not at all,To some extent,To some extent 
A federal employee,Yes,I implement AI for use in administrative or mission-driven tasks. ,,Daily ,White or Caucasian  ,No,Under 40,Supervisor/Manager/Executive,10 years or fewer,Female,No prior Military Service,U.S. Census Bureau,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Slightly satisfied,Yes,Yes,No,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,,Low significance,Low significance,Low significance,Low significance,Low significance,Agree ,Strongly agree,Neither disagree nor agree ,Somewhat agree ,Strongly agree,Neither disagree nor agree ,To some extent,To some extent,To some extent,Moderately 
A federal employee,Yes,"Other involvement with AI, please specify.",Took a python course to get an introduction on using it. ,Occasionally ,White or Caucasian  ,No,40 or older,Supervisor/Manager/Executive,11 to 20 years,Male,No prior Military Service,U.S. Census Bureau,Agree,Strongly agree,Strongly agree,Strongly agree,Extremely satisfied,Yes,No,No,Neither satisfied nor dissatisfied,,,Low significance,Low significance,High significance,High significance,No significance,Strongly agree,Strongly agree,Neither disagree nor agree ,Neither disagree nor agree ,Somewhat agree ,Neither disagree nor agree ,Moderately,Moderately,To some extent,To some extent 
A federal employee,Yes,I am involved in making decisions related to the use of AI for administrative or mission-driven tasks. ,,Occasionally ,White or Caucasian  ,No,Under 40,Non-supervisor/Team Leader,10 years or fewer,Non-binary / third gender,No prior Military Service,,Strongly agree,Somewhat agree,Strongly agree,Agree,Slightly satisfied,No,Yes,No,,Neither satisfied nor dissatisfied,,Low significance,Low significance,High significance,Low significance,No significance,Strongly agree,Strongly agree,Somewhat disagreeae ,Disagree ,Agree ,Neither disagree nor agree ,Moderately,Very much,To some extent,Moderately 
A federal employee,Yes,I am involved in making decisions related to the use of AI for administrative or mission-driven tasks. ,,Occasionally ,White or Caucasian  ,No,Under 40,Supervisor/Manager/Executive,10 years or fewer,Male,No prior Military Service,U.S. Census Bureau,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Extremely dissatisfied,No,Yes,No,,Somewhat dissatisfied,,Low significance,Low significance,High significance,Low significance,High significance,Agree ,Strongly agree,Somewhat agree ,Neither disagree nor agree ,Agree ,Neither disagree nor agree ,To some extent,To some extent,To some extent,To some extent 
A federal employee,Yes,I am involved in making decisions related to the use of AI for administrative or mission-driven tasks. ,,Daily ,White or Caucasian  ,No,Under 40,Non-supervisor/Team Leader,11 to 20 years,Male,No prior Military Service,U.S. Census Bureau,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Extremely dissatisfied,Yes,Yes,No,Extremely dissatisfied,Extremely dissatisfied,,No significance,No significance,No significance,No significance,No significance,Strongly agree,Strongly agree,Neither disagree nor agree ,Strongly disagree ,Strongly disagree ,Strongly disagree ,Not at all,Not at all,Not at all,Very much 
A federal employee,Yes,I use AI in my administrative or mission-driven tasks. ,,Weekly ,White or Caucasian  ,Yes,Under 40,Non-supervisor/Team Leader,11 to 20 years,Female,No prior Military Service,U.S. Census Bureau,Agree,Neither disagree nor agree,Strongly agree,Agree,Moderately dissatisfied,No,Yes,No,,Neither satisfied nor dissatisfied,,High significance,High significance,High significance,High significance,High significance,,,,,,,,,,
A federal employee,Yes,I implement AI for use in administrative or mission-driven tasks. ,,Daily ,White or Caucasian  ,No,40 or older,Non-supervisor/Team Leader,11 to 20 years,Female,No prior Military Service,National Marine Fisheries Service(NMFS)/NOAA Fisheries,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Moderately dissatisfied,No,Yes,No,,Somewhat dissatisfied,,Low significance,High significance,Low significance,Low significance,High significance,Disagree ,Somewhat agree ,Somewhat disagreeae ,Somewhat agree ,Strongly agree,Agree ,To some extent,To some extent,To some extent,To some extent 
A federal employee,Yes,I use AI in my administrative or mission-driven tasks. ,,Occasionally ,White or Caucasian  ,No,40 or older,Non-supervisor/Team Leader,11 to 20 years,Female,No prior Military Service,National Oceanic and Atmospheric Administration (NOAA),Strongly disagree,Strongly agree,Disagree,Strongly agree,Moderately dissatisfied,Yes,Yes,No,Somewhat satisfied,Somewhat satisfied,,High significance,High significance,Low significance,Low significance,High significance,Agree ,Agree ,Strongly agree,Strongly agree,Strongly agree,Neither disagree nor agree ,To some extent,To some extent,Not at all,Moderately 
A federal employee,Yes,I am involved in making decisions related to the use of AI for administrative or mission-driven tasks. ,,Occasionally ,Prefer not to say,No,Under 40,Supervisor/Manager/Executive,10 years or fewer,Male,No prior Military Service,U.S. Census Bureau,Strongly agree,Strongly agree,Agree,Strongly disagree,Extremely satisfied,Yes,No,No,Neither satisfied nor dissatisfied,,,High significance,Low significance,High significance,Low significance,Low significance,Somewhat agree ,Strongly agree,Neither disagree nor agree ,Disagree ,Somewhat agree ,Somewhat agree ,Moderately,Very much,To some extent,Not at all 
A federal employee,Yes,I am involved in making decisions related to the use of AI for administrative or mission-driven tasks. ,,Occasionally ,White or Caucasian  ,Yes,40 or older,Non-supervisor/Team Leader,10 years or fewer,Male,No prior Military Service,National Oceanic and Atmospheric Administration (NOAA),Agree,Strongly agree,Strongly agree,Strongly agree,Slightly satisfied,Yes,No,No,Somewhat dissatisfied,,,Low significance,Low significance,Low significance,Low significance,High significance,Somewhat agree ,Agree ,Somewhat agree ,Agree ,Agree ,Neither disagree nor agree ,To some extent,To some extent,To some extent,Not at all 
