clear_explanation,security_measure,accountability,privacy,hindrace to AI adoption - Implementation costs of AI solutions,hindrace to AI adoption - Integration challenges with existing infrastructure,hindrace to AI adoption - Reputational risks,hindrace to AI adoption - Access to external data,hindrace to AI adoption - Sponsorship from agency leadership,Governance Program,Knowledgeable employee,Partnerships with AI solutions providers and consultants,Budget optimisation,Better services to our clients,responsive to oversight requests,factors regarding agency success - Gauging the comfort level of the clients with the use of AI technologies,Impact on strategic focus,Race,Hispanic,Age,Sex,Sup,Fed,Military
7,7,7,7,3,3,3,2,3,7,6,6,3,4,4,1,1,1,1,1,1,1,1,1
6,7,7,7,2,2,2,2,2,7,7,7,1,1,1,3,2,2,1,2,1,1,1,1
6,6,6,7,2,2,3,2,3,1,5,3,1,1,1,3,2,3,1,1,1,1,1,1
2,7,6,4,2,1,1,2,1,1,6,3,5,5,4,2,2,4,1,2,4,2,3,1
6,7,6,4,2,2,3,2,3,5,5,3,6,7,4,1,3,1,1,2,1,1,3,1
7,7,7,7,2,2,1,2,1,7,7,7,2,2,2,3,1,1,1,2,1,2,2,1
6,6,7,7,3,3,3,3,3,1,5,3,6,1,4,2,1,1,2,1,2,1,1,1
6,7,7,7,1,1,3,1,3,4,7,4,6,6,4,2,1,1,1,2,1,1,3,1
6,7,5,7,2,2,3,3,1,6,7,4,6,5,4,2,4,1,1,1,3,1,1,1
7,7,7,7,2,2,3,2,3,7,7,7,6,6,4,1,2,1,1,2,2,1,3,1
5,7,5,7,2,2,2,2,2,6,7,4,5,7,4,2,3,1,1,1,2,2,1,1
6,7,7,7,2,2,3,3,1,7,7,4,4,5,4,3,2,1,1,2,1,2,2,1
7,5,7,6,2,2,3,2,1,7,7,3,2,6,4,3,3,1,1,1,3,1,1,1
7,7,7,7,2,2,3,2,3,6,7,5,4,6,4,2,2,1,1,1,1,2,1,1
1,7,7,7,1,1,1,1,1,7,7,4,1,1,1,1,4,1,1,1,1,1,2,1
6,4,7,6,3,3,3,3,3,1,5,7,1,1,2,3,1,1,2,1,2,1,2,1
1,7,5,7,2,3,2,2,3,2,5,3,5,7,6,2,2,1,1,2,2,1,2,1
1,7,2,7,3,3,2,2,3,6,6,7,7,7,4,2,3,1,1,2,2,1,2,1
7,7,6,1,3,2,3,2,2,5,7,4,2,5,5,3,1,4,1,1,1,2,1,1
6,7,7,7,2,2,2,2,3,5,6,5,6,6,4,2,1,1,2,2,1,1,1,1
